ping_time,left_ir_time,prev_ir_left,right_ir_time,prev_ir_right,initial_orient_robot,x_robot,y_robot,orient_robot,next_ball_column,millis(),hoppers[0].x,hoppers[0].y,hoppers[0].balls,hoppers[0].orient,hoppers[1].x,hoppers[1].y,hoppers[1].balls,hoppers[1].orient,hoppers[2].x,hoppers[2].y,hoppers[2].balls,hoppers[2].orient,hoppers[3].x,hoppers[3].y,hoppers[3].balls,hoppers[3].orient0,0,0,15,0,0.00,0.10,0.00,0.00,0,7,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1,0,0,0,1,0,0
50,0,0,60,0,0.00,0.40,0.00,0.00,0,58,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,51,0,0,0,1,0,1
100,0,0,75,0,0.00,0.50,0.00,0.00,0,147,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,111,0,0,0,1,0,2
150,0,0,90,0,0.00,0.60,0.00,0.00,0,239,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,202,0,0,0,1,0,3
200,0,0,105,0,0.00,0.70,0.00,0.00,0,331,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,293,0,0,0,1,0,4
250,0,0,120,0,0.00,0.80,0.00,0.00,0,423,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,387,0,0,0,1,0,5
300,0,0,135,0,0.00,0.90,0.00,0.00,0,517,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,479,0,0,0,1,0,6
350,0,0,150,0,0.00,1.00,0.00,0.00,0,609,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,572,0,0,0,1,0,7
400,0,0,165,0,0.00,1.10,0.00,0.00,0,701,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,664,0,0,0,1,0,8
450,0,0,180,0,0.00,1.20,0.00,0.00,0,794,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,756,0,0,0,1,0,9
500,0,0,195,0,0.00,1.30,0.00,0.00,0,886,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,849,0,0,0,1,0,10
550,0,0,210,0,0.00,1.40,0.00,0.00,0,980,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,943,0,0,0,1,0,11
600,0,0,225,0,0.00,1.50,0.00,0.00,0,1074,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1037,0,0,0,1,0,12
650,0,0,240,0,0.00,1.60,0.00,0.00,0,1169,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1132,0,0,0,1,0,13
700,0,0,255,0,0.00,1.70,0.00,0.00,0,1265,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1227,0,0,0,1,0,14
750,0,0,270,0,0.00,1.80,0.00,0.00,0,1360,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1324,0,0,0,1,0,15
800,0,0,285,0,0.00,1.90,0.00,0.00,0,1457,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1419,0,0,0,1,29,16
850,0,0,300,0,0.00,2.00,0.00,0.00,0,1553,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1516,0,29,0,1,0,0
900,0,0,315,0,0.00,2.10,0.00,0.00,0,1649,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1611,0,0,0,1,35,0
950,0,0,330,0,0.00,2.20,0.00,0.00,0,1744,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1708,0,35,0,1,0,0
1000,0,0,345,0,0.00,2.30,0.00,0.00,0,1842,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1803,0,0,0,1,0,0
1050,0,0,360,0,0.00,2.40,0.00,0.00,0,1937,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1898,0,0,0,1,0,1
1100,0,0,375,0,0.00,2.50,0.00,0.00,0,2032,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,1994,0,0,0,1,35,2
1150,0,0,390,0,0.00,2.60,0.00,0.00,0,2129,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,2091,0,35,0,1,0,0
1200,0,0,405,0,0.00,2.70,0.00,0.00,0,2226,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,2188,0,0,0,1,0,0
1250,0,0,420,0,0.00,2.80,0.00,0.00,0,2322,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,2283,0,0,0,1,0,1
1300,0,0,435,0,0.00,2.90,0.00,0.00,0,2417,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,2379,0,0,0,1,31,2
1350,0,0,450,0,0.00,3.00,0.00,0.00,0,2514,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,2476,0,31,0,1,33,0
1400,0,0,465,0,0.00,3.10,0.00,0.00,0,3577,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3573,33,33,0,1,20,0
1450,0,0,480,0,0.00,3.20,0.00,0.00,0,3645,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3607,33,20,0,1,0,0
1500,0,0,495,0,0.00,3.30,0.00,0.00,0,3743,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3704,33,0,0,1,0,0
1550,0,0,510,0,0.00,3.40,0.00,0.00,0,3840,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3801,33,0,0,1,0,1
1600,0,0,525,0,0.00,3.50,0.00,0.00,0,3936,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3898,33,0,0,1,21,2
1650,0,0,540,0,0.00,3.60,0.00,0.00,0,4034,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,3995,33,21,0,1,0,0
1700,0,0,555,0,0.00,3.70,0.00,0.00,0,4131,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,4093,33,0,0,1,24,0
1750,0,0,570,0,0.00,3.80,0.00,0.00,0,4230,0,0,0,0,0,0,0,0,0,0,4,2,8,8,4,3,4191,33,24,0,1,25,0
1800,0,0,585,0,0.00,3.90,0.00,0.00,0,4328,0,1,7,1,0,0,0,0,0,0,4,2,8,8,4,3,4290,25,25,1,0,0,0
1850,0,0,600,0,0.00,4.00,0.00,0.00,0,4426,0,1,7,1,0,0,0,0,0,0,4,2,8,8,4,3,4387,25,0,1,0,28,0
1900,0,0,615,0,0.00,4.10,0.00,0.00,0,4524,0,1,7,1,0,0,0,0,0,0,4,2,8,8,4,3,4486,25,28,1,0,30,0
Hopper 1:
